2020-07-21 10:35:21.477 [DEBU] [  4 ms] SHOW TABLES
2020-07-21 10:35:21.482 [DEBU] [  2 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-21 10:35:21.484 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-21 10:35:21.486 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `authorities`
2020-07-21 10:35:21.489 [DEBU] [  2 ms] SHOW FULL COLUMNS FROM `dictionaries`
2020-07-21 10:35:21.491 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `dictionary_details`
2020-07-21 10:35:21.493 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `files`
2020-07-21 10:35:21.496 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `menus`
2020-07-21 14:06:51.847 [DEBU] [  3 ms] SHOW TABLES
2020-07-21 14:06:51.852 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `admins`
2020-07-21 14:06:51.854 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `apis`
2020-07-21 14:06:51.856 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `authorities`
2020-07-21 14:06:51.858 [DEBU] [  2 ms] SHOW FULL COLUMNS FROM `customers`
2020-07-21 14:06:51.860 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `dictionaries`
2020-07-21 14:06:51.862 [DEBU] [  0 ms] SHOW FULL COLUMNS FROM `dictionary_details`
2020-07-21 14:06:51.864 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `files`
2020-07-21 14:06:51.866 [DEBU] [  1 ms] SHOW FULL COLUMNS FROM `menus`
